date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2023-08-31,ADTX,2023-08-31 14:59:39,2023-08-31 19:50:00,93857384.16,441852600.0,0.0,3122.86,11577.64,370.7702,75141.51,13.64
2023-08-31,SQL,2023-08-31 14:03:15,2023-08-31 19:50:00,17.1855,21.0221,181.7178,3122.91,696.18,22.3247,63563.87,4.39
2023-08-31,DMS,2023-08-31 14:01:47,2023-08-31 19:50:00,3.4672,3.9302,900.7533,3123.14,412.45,13.3506,62867.69,7.46
2023-09-01,ADTX,2023-09-01 13:56:02,2023-09-01 19:50:00,271829184.0,403618824.0,0.0,4228.47,2049.07,48.4825,86616.49,1.2
2023-09-01,ADTX,2023-09-01 15:10:10,2023-09-01 19:50:00,239467701.6,403618824.0,0.0,4228.42,2897.51,68.5483,89514.01,1.02
2023-09-05,DBGI,2023-09-05 14:49:09,2023-09-05 19:50:00,619.5825,770.0301,7.2237,4475.7,1085.79,24.2821,90598.8,3.32
2023-09-06,HKIT,2023-09-06 14:04:22,2023-09-06 19:50:00,1537.65,205.485,2.946,4529.94,-3925.58,-86.6364,86671.22,3.25
2023-09-06,HKIT,2023-09-06 14:48:03,2023-09-06 19:50:00,1533.8159,205.485,2.9533,4529.89,-3924.02,-86.603,82747.2,1.82
2023-09-18,DTOC,2023-09-18 14:54:33,2023-09-18 19:50:00,10.864,29.6258,380.8304,4137.36,7143.12,172.6953,89888.42,29.88
2023-09-27,CMCT,2023-09-27 15:44:02,2023-09-27 19:50:00,100731.5101,107557.7121,0.0446,4494.42,303.57,6.7766,90190.99,1.04
2023-10-02,MNTS,2023-10-02 14:26:20,2023-10-02 19:50:00,820.0038,489.8266,5.4994,4509.55,-1816.78,-40.2653,88373.2,2.48
2023-10-05,MRTX,2023-10-05 14:30:21,2023-10-05 19:50:00,46.1697,61.6618,95.7048,4418.66,1481.66,33.5546,89853.87,1.38
2023-10-06,ALXO,2023-10-06 15:01:53,2023-10-06 19:50:00,7.0852,8.3192,634.091,4492.69,779.23,17.4151,90629.93,2.48
2023-10-11,TPST,2023-10-11 15:39:10,2023-10-11 19:50:00,19.2055,60.1044,235.9157,4530.89,9647.49,212.9531,209792.19,1.64
2023-10-11,TPST,2023-10-11 15:18:11,2023-10-11 19:50:00,18.9443,60.1044,239.1728,4530.95,9843.18,217.2697,200144.7,1.0
2023-10-11,TPST,2023-10-11 15:12:10,2023-10-11 19:50:00,19.7281,60.1044,229.6722,4531.01,9272.14,204.6629,190301.51,1.2
2023-10-11,TPST,2023-10-11 14:44:18,2023-10-11 19:50:00,14.0122,60.1044,323.3722,4531.16,14903.3,328.9427,168344.71,1.05
2023-10-11,TPST,2023-10-11 14:54:46,2023-10-11 19:50:00,15.8178,60.1044,286.4545,4531.08,12684.65,279.9794,181029.37,2.07
2023-10-11,TPST,2023-10-11 14:30:36,2023-10-11 19:50:00,12.1504,60.1044,372.9357,4531.34,17881.86,394.6678,138020.67,1.5
2023-10-11,TPST,2023-10-11 14:20:33,2023-10-11 19:50:00,13.065,60.1044,346.8368,4531.42,16313.25,360.041,120138.81,2.54
2023-10-11,TPST,2023-10-11 13:52:07,2023-10-11 19:50:00,15.3514,60.1044,295.1851,4531.5,13208.94,291.5243,103825.56,1.82
2023-10-11,TPST,2023-10-11 14:38:51,2023-10-11 19:50:00,13.649,60.1044,331.9834,4531.24,15420.75,340.3571,153441.41,1.06
