trade_num,date,symbol,entry_ts,exit_ts,entry_px,exit_px,ret_pct,rvol,BOD_equity,pos_size,gross_pnl,commission,net_pnl,equity_after,positions_today
472,2025-11-20,SGBX,2025-11-20 14:57:18,2025-11-20 20:50:00,7.648,3.9701,-48.0907,1.09,25418390.17,100000.0,-48090.7,130.75,-48221.45,25320686.05,2
473,2025-11-24,INHD,2025-11-24 14:46:25,2025-11-24 20:50:00,26.532,11.7186,-55.8321,1.06,25320686.05,100000.0,-55832.1,37.69,-55869.79,25264816.26,1
474,2025-11-24,CJET,2025-11-24 15:00:17,2025-11-24 20:50:00,2.7438,1.2883,-53.0471,1.28,25320686.05,100000.0,-53047.1,364.46,-53411.56,25211404.7,2
475,2025-11-26,SMX,2025-11-26 15:38:32,2025-11-26 20:50:00,37.7857,75.2513,99.1529,16.87,25211404.7,100000.0,99152.9,26.47,99126.43,25310531.13,1
476,2025-11-26,SMX,2025-11-26 15:43:56,2025-11-26 20:50:00,45.7844,75.2513,64.3602,4.41,25211404.7,100000.0,64360.2,21.84,64338.36,25374869.49,2
477,2025-11-26,SMX,2025-11-26 15:54:37,2025-11-26 20:50:00,48.6306,75.2513,54.7405,11.71,25211404.7,100000.0,54740.5,20.56,54719.94,25429589.43,3
478,2025-12-01,FLYE,2025-12-01 14:44:34,2025-12-01 20:50:00,5.5275,12.9775,134.7802,1.02,25429589.43,100000.0,134780.2,180.91,134599.29,25564188.72,1
479,2025-12-01,FLYE,2025-12-01 15:12:27,2025-12-01 20:50:00,6.9747,12.9775,86.065,1.77,25429589.43,100000.0,86065.0,143.38,85921.62,25650110.34,2
480,2025-12-01,FLYE,2025-12-01 15:41:13,2025-12-01 20:50:00,10.3716,12.9775,25.1251,3.7,25429589.43,100000.0,25125.1,96.42,25028.68,25675139.02,3
481,2025-12-05,TGL,2025-12-05 14:46:34,2025-12-05 20:50:00,8.643,26.0814,201.7637,8.02,25675139.02,100000.0,201763.7,115.7,201648.0,25876787.02,1
482,2025-12-09,AFJK,2025-12-09 15:06:17,2025-12-09 20:50:00,12.9343,80.7974,524.6731,1.17,25876787.02,100000.0,524673.1,77.31,524595.79,26401382.81,1
483,2025-12-09,AFJK,2025-12-09 15:29:31,2025-12-09 20:50:00,16.08,80.7974,402.4714,1.35,25876787.02,100000.0,402471.4,62.19,402409.21,26803792.02,2
484,2025-12-09,AFJK,2025-12-09 15:35:19,2025-12-09 20:50:00,18.5925,80.7974,334.5699,2.08,25876787.02,100000.0,334569.9,53.79,334516.11,27138308.14,3
485,2025-12-10,BBGI,2025-12-10 14:51:01,2025-12-10 20:50:00,8.5425,18.5834,117.5408,1.09,27138308.14,100000.0,117540.8,117.06,117423.74,27255731.87,1
486,2025-12-10,BBGI,2025-12-10 14:56:41,2025-12-10 20:50:00,9.658,18.5834,92.4138,1.18,27138308.14,100000.0,92413.8,103.54,92310.26,27348042.13,2
487,2025-12-10,CHOW,2025-12-10 15:11:37,2025-12-10 20:50:00,12.0801,1.9352,-83.9807,1.27,27138308.14,100000.0,-83980.7,82.78,-84063.48,27263978.65,3
488,2025-12-10,CHOW,2025-12-10 15:17:08,2025-12-10 20:50:00,12.06,1.9352,-83.954,1.44,27138308.14,100000.0,-83954.0,82.92,-84036.92,27179941.73,4
489,2025-12-10,BBGI,2025-12-10 15:45:56,2025-12-10 20:50:00,11.5575,18.5834,60.791,1.38,27138308.14,100000.0,60791.0,86.52,60704.48,27240646.21,5
490,2025-12-16,MGRT,2025-12-16 15:42:35,2025-12-16 20:50:00,5.1958,5.4464,4.8212,5.44,27240646.21,100000.0,4821.2,192.46,4628.74,27245274.95,1
491,2025-12-17,PCSA,2025-12-17 15:13:36,2025-12-17 20:50:00,7.9596,6.0848,-23.5533,7.66,27245274.95,100000.0,-23553.3,125.63,-23678.93,27221596.01,1
492,2025-12-17,PCSA,2025-12-17 15:51:15,2025-12-17 20:50:00,6.8842,6.0848,-11.612,1.27,27245274.95,100000.0,-11612.0,145.26,-11757.26,27209838.75,2
493,2025-12-18,MGRT,2025-12-18 15:56:45,2025-12-18 20:50:00,9.5073,8.2294,-13.4415,2.42,27209838.75,100000.0,-13441.5,105.18,-13546.68,27196292.07,1
494,2025-12-22,FJET,2025-12-22 14:44:42,2025-12-22 20:50:00,10.1505,28.9973,185.6739,2.24,27196292.07,100000.0,185673.9,98.52,185575.38,27381867.45,1
495,2025-12-22,FJET,2025-12-22 15:56:57,2025-12-22 20:50:00,11.4208,28.9973,153.8988,1.33,27196292.07,100000.0,153898.8,87.56,153811.24,27535678.69,2
496,2025-12-26,ASPC,2025-12-26 14:52:04,2025-12-26 20:50:00,28.6123,26.1944,-8.4509,3.68,27535678.69,100000.0,-8450.9,34.95,-8485.85,27527192.84,1
497,2025-12-26,ASPC,2025-12-26 14:58:38,2025-12-26 20:50:00,25.125,26.1944,4.2561,1.03,27535678.69,100000.0,4256.1,39.8,4216.3,27531409.14,2
498,2025-12-26,ASPC,2025-12-26 15:06:15,2025-12-26 20:50:00,30.6198,26.1944,-14.453,1.76,27535678.69,100000.0,-14453.0,32.66,-14485.66,27516923.48,3
499,2026-01-08,ERAS,2026-01-08 15:42:51,2026-01-08 20:50:00,5.0652,6.1148,20.7213,2.17,27516923.48,100000.0,20721.3,197.43,20523.87,27537447.36,1
500,2026-01-12,EVTV,2026-01-12 15:29:05,2026-01-12 20:50:00,1.4874,2.2544,51.5631,1.85,27537447.36,100000.0,51563.1,672.31,50890.79,27588338.14,1
501,2026-01-15,MLEC,2026-01-15 15:21:29,2026-01-15 20:50:00,3.7888,7.8404,106.9322,1.34,27588338.14,100000.0,106932.2,263.94,106668.26,27695006.41,1
502,2026-01-20,SEGG,2026-01-20 14:42:59,2026-01-20 20:50:00,1.3473,1.7918,32.9923,1.9,27695006.41,100000.0,32992.3,742.23,32250.07,27727256.48,1
503,2026-01-29,TCGL,2026-01-29 15:03:54,2026-01-29 20:50:00,9.6982,90.6728,834.9393,2.88,27727256.48,100000.0,834939.3,103.11,834836.19,28562092.67,1
504,2026-01-29,NNNN,2026-01-29 15:33:26,2026-01-29 20:50:00,20.904,28.728,37.4282,11.33,27727256.48,100000.0,37428.2,47.84,37380.36,28599473.03,2
505,2026-01-29,ANL,2026-01-29 15:47:49,2026-01-29 20:50:00,3.829,6.5137,70.112,2.23,27727256.48,100000.0,70112.0,261.16,69850.84,28669323.87,3
506,2026-01-30,ELPW,2026-01-30 15:04:08,2026-01-30 20:50:00,43.2552,1170.666,2606.4168,1.51,28669323.87,100000.0,2606416.8,23.12,2606393.68,31275717.55,1
507,2026-01-30,ELPW,2026-01-30 15:36:32,2026-01-30 20:50:00,129.444,1170.666,804.3803,5.49,28669323.87,100000.0,804380.3,7.73,804372.57,32080090.12,2
508,2026-01-30,ELPW,2026-01-30 15:41:57,2026-01-30 20:50:00,151.152,1170.666,674.4959,3.91,28669323.87,100000.0,674495.9,6.62,674489.28,32754579.41,3
509,2026-02-04,PHOE,2026-02-04 14:51:26,2026-02-04 20:50:00,24.8938,18.9725,-23.7866,7.26,32754579.41,100000.0,-23786.6,40.17,-23826.77,32730752.64,1
510,2026-02-11,NCI,2026-02-11 15:02:43,2026-02-11 20:50:00,1.0045,2.6434,163.154,1.68,32730752.64,100000.0,163154.0,995.52,162158.48,32892911.12,1
511,2026-02-11,NCI,2026-02-11 15:07:58,2026-02-11 20:50:00,1.0151,2.6434,160.4182,4.66,32730752.64,100000.0,160418.2,985.12,159433.08,33052344.19,2
512,2026-02-26,CZR,2026-02-26 15:38:51,2026-02-26 20:50:00,21.9894,24.2891,10.4583,2.79,33052344.19,100000.0,10458.3,45.48,10412.82,33062757.02,1
513,2026-03-03,BRAI,2026-03-03 14:55:14,2026-03-03 20:50:00,18.0297,28.1694,56.2389,1.8,33062757.02,100000.0,56238.9,55.46,56183.44,33118940.45,1
514,2026-03-03,BRAI,2026-03-03 14:58:17,2026-03-03 20:50:00,18.2508,28.1694,54.3461,1.44,33062757.02,100000.0,54346.1,54.79,54291.31,33173231.76,2
515,2026-03-09,GSIW,2026-03-09 13:46:36,2026-03-09 19:50:00,9.7334,34.9125,258.6867,2.66,33173231.76,100000.0,258686.7,102.74,258583.96,33431815.72,1
516,2026-03-09,GSIW,2026-03-09 14:00:32,2026-03-09 19:50:00,10.7535,34.9125,224.6617,5.14,33173231.76,100000.0,224661.7,92.99,224568.71,33656384.43,2
517,2026-03-09,GSIW,2026-03-09 14:08:34,2026-03-09 19:50:00,10.7535,34.9125,224.6617,12.14,33173231.76,100000.0,224661.7,92.99,224568.71,33880953.13,3
518,2026-03-09,GSIW,2026-03-09 14:55:14,2026-03-09 19:50:00,15.075,34.9125,131.592,2.23,33173231.76,100000.0,131592.0,66.33,131525.67,34012478.8,4
